1,16,0.0016878,0.0000932,5.52%
1,32,0.003686,0.000278,7.54%
1,64,0.010184,0.000859,8.44%
1,128,0.027207,0.000826,3.04%
1,256,0.083413,0.000872,1.04%
1,512,0.308524,0.000808,0.26%
1,1024,1.21463,0.00275,0.23%
1,2048,4.8132,0.0121,0.25%
1,4096,19.0975,0.0467,0.24%
1,8192,76.638,0.179,0.23%
2,16,0.0013776,0.0000760,5.51%
2,32,0.0025915,0.0000722,2.78%
2,64,0.005705,0.000500,8.76%
2,128,0.017350,0.000864,4.98%
2,256,0.046814,0.000683,1.46%
2,512,0.16659,0.00119,0.71%
2,1024,0.62071,0.00157,0.25%
2,2048,2.44308,0.00395,0.16%
2,4096,9.7307,0.0138,0.14%
2,8192,38.9847,0.0430,0.11%
4,16,0.0014265,0.0000677,4.74%
4,32,0.001997,0.000116,5.83%
4,64,0.003870,0.000319,8.25%
4,128,0.012261,0.000691,5.64%
4,256,0.029661,0.000440,1.48%
4,512,0.09959,0.00125,1.26%
4,1024,0.36954,0.00128,0.35%
4,2048,1.42861,0.00185,0.13%
4,4096,5.65212,0.00398,0.07%
4,8192,22.5996,0.0230,0.10%
8,16,0.001313,0.000113,8.61%
8,32,0.001745,0.000177,10.16%
8,64,0.002673,0.000177,6.61%
8,128,0.006432,0.000503,7.82%
8,256,0.016880,0.000974,5.77%
8,512,0.054918,0.000746,1.36%
8,1024,0.19805,0.00120,0.61%
8,2048,0.77003,0.00309,0.40%
8,4096,3.298,0.259,7.86%
8,8192,12.1192,0.0235,0.19%
16,16,0.001813,0.000156,8.61%
16,32,0.001767,0.000286,16.17%
16,64,0.002301,0.000244,10.60%
16,128,0.005314,0.000364,6.85%
16,256,0.015147,0.000558,3.68%
16,512,0.05240,0.00111,2.12%
16,1024,0.18544,0.00167,0.90%
16,2048,0.69672,0.00412,0.59%
16,4096,2.7464,0.0177,0.65%
16,8192,10.7113,0.0457,0.43%
32,16,0.002288,0.000247,10.81%
32,32,0.002223,0.000234,10.52%
32,64,0.002513,0.000173,6.89%
32,128,0.004934,0.000344,6.97%
32,256,0.013751,0.000469,3.41%
32,512,0.049155,0.000986,2.01%
32,1024,0.17507,0.00122,0.70%
32,2048,0.66862,0.00286,0.43%
32,4096,2.62784,0.00990,0.38%
32,8192,10.4388,0.0147,0.14%
