1,16,0.001850,0.000118,6.39%
1,32,0.004300,0.000286,6.66%
1,64,0.011333,0.000637,5.62%
1,128,0.030689,0.000986,3.21%
1,256,0.098910,0.000950,0.96%
1,512,0.37165,0.00171,0.46%
1,1024,1.45434,0.00280,0.19%
1,2048,5.8046,0.0106,0.18%
1,4096,23.681,0.437,1.85%
1,8192,92.689,0.158,0.17%
2,16,0.0014516,0.0000959,6.60%
2,32,0.003155,0.000150,4.76%
2,64,0.008340,0.000437,5.24%
2,128,0.018664,0.000904,4.85%
2,256,0.05796,0.00113,1.95%
2,512,0.20793,0.00256,1.23%
2,1024,0.79140,0.00174,0.22%
2,2048,3.12586,0.00377,0.12%
2,4096,12.4954,0.0172,0.14%
2,8192,49.9165,0.0597,0.12%
4,16,0.001361,0.000105,7.68%
4,32,0.001938,0.000106,5.49%
4,64,0.004739,0.000343,7.24%
4,128,0.013068,0.000484,3.70%
4,256,0.033120,0.000931,2.81%
4,512,0.11250,0.00166,1.48%
4,1024,0.41621,0.00142,0.34%
4,2048,1.63235,0.00333,0.20%
4,4096,6.4887,0.0122,0.19%
4,8192,25.9795,0.0654,0.25%
8,16,0.0015979,0.0000838,5.25%
8,32,0.001857,0.000143,7.70%
8,64,0.002721,0.000189,6.94%
8,128,0.006652,0.000463,6.96%
8,256,0.017258,0.000591,3.42%
8,512,0.058588,0.000839,1.43%
8,1024,0.21581,0.00110,0.51%
8,2048,0.85106,0.00378,0.44%
8,4096,3.3801,0.0154,0.46%
8,8192,13.4133,0.0317,0.24%
16,16,0.001714,0.000107,6.26%
16,32,0.002003,0.000161,8.06%
16,64,0.002849,0.000485,17.03%
16,128,0.005845,0.000268,4.58%
16,256,0.016762,0.000663,3.96%
16,512,0.058587,0.000913,1.56%
16,1024,0.21690,0.00121,0.56%
16,2048,0.81478,0.00256,0.31%
16,4096,3.17759,0.00950,0.30%
16,8192,12.5772,0.0188,0.15%
32,16,0.001997,0.000201,10.07%
32,32,0.002476,0.000277,11.17%
32,64,0.002612,0.000211,8.09%
32,128,0.005646,0.000305,5.40%
32,256,0.015912,0.000528,3.32%
32,512,0.055198,0.000769,1.39%
32,1024,0.20385,0.00140,0.69%
32,2048,0.79588,0.00198,0.25%
32,4096,3.12562,0.00315,0.10%
32,8192,12.4393,0.0183,0.15%
